raw_text,canonical_name,category,subcategory
TIM HORTONS #3847 TORONTO ON,Tim Hortons,Food & Dining,Fast Food
LOBLAWS #1023 MISSISSAUGA ON,Loblaws,Food & Dining,Grocery
SQ *BELLA PIZZA VANCOUVER BC,Bella Pizza,Food & Dining,Restaurant
AMZN MKTP CA*2M4N7P OTTAWA ON,Amazon,Shopping,Online Retail
PRESTO *AUTOLOAD 416-555-0192,Presto,Transportation,Public Transit
STARBUCKS #47382 CALGARY AB,Starbucks,Food & Dining,Coffee Shop
SHELL OIL #28473829 EDMONTON AB,Shell,Transportation,Gas Station
UBER *TRIP HELP.UBER.COM,Uber,Transportation,Rideshare
NETFLIX.COM NETFLIX.COM CA,Netflix,Entertainment,Streaming
SHOPPERS DRUG MART #2847 TORONTO ON,Shoppers Drug Mart,Health & Wellness,Pharmacy
METRO ONTARIO #0483 HAMILTON ON,Metro,Food & Dining,Grocery
TST* COFFEE REPUBLIC MONTREAL QC,Coffee Republic,Food & Dining,Coffee Shop
PAYPAL *SPOTIFY P5B2C4T8E2,Spotify,Entertainment,Streaming
ROGERS COMMUNICATIONS 888-764-3771,Rogers,Utilities,Telecom
ESSO 29384756 CALGARY AB,Esso,Transportation,Gas Station
MCDONALD'S #28473 VANCOUVER BC,McDonald's,Food & Dining,Fast Food
AMAZON.CA*2K8M3L AMAZON.CA,Amazon,Shopping,Online Retail
DOLLARAMA #847 BRAMPTON ON,Dollarama,Shopping,Discount Store
UBER *EATS HELP.UBER.COM,Uber Eats,Food & Dining,Delivery
WHOLE FDS MKT #60284 TORONTO ON,Whole Foods,Food & Dining,Grocery
BELL MOBILITY 1-800-667-0123,Bell,Utilities,Telecom
PETRO-CANADA #8473 LONDON ON,Petro-Canada,Transportation,Gas Station
SQ *FRESH PRESSED OTTAWA ON,Fresh Pressed,Food & Dining,Restaurant
NO FRILLS #1847 SCARBOROUGH ON,No Frills,Food & Dining,Grocery
APPLE.COM/BILL 866-712-7753,Apple,Entertainment,Digital Services
LCBO/REGIE #0284 TORONTO ON,LCBO,Food & Dining,Alcohol
A&W #2847 REGINA SK,A&W,Food & Dining,Fast Food
SPOTIFY P5B2C4T8E2 STOCKHOLM,Spotify,Entertainment,Streaming
WINNERS #0847 MARKHAM ON,Winners,Shopping,Clothing
TORONTO HYDRO EBILL,Toronto Hydro,Utilities,Electricity
407 ETR AUTOMATED PMT,407 ETR,Transportation,Toll Road
SUBWAY #48273 KITCHENER ON,Subway,Food & Dining,Fast Food
AMZN PRIME*2K4M8P AMZN.CA/PRIME,Amazon Prime,Entertainment,Subscription
TELUS MOBILITY 1-866-558-2273,Telus,Utilities,Telecom
TST* RAMEN HOUSE VANCOUVER BC,Ramen House,Food & Dining,Restaurant
WALMART #3847 WINNIPEG MB,Walmart,Shopping,Department Store
LYFT *RIDE TUE 8PM TOR,Lyft,Transportation,Rideshare
SOBEYS #2847 HALIFAX NS,Sobeys,Food & Dining,Grocery
SQ *NOODLE BOX CALGARY AB,Noodle Box,Food & Dining,Restaurant
PAYPAL *ADOBE 4029357733,Adobe,Entertainment,Software Subscription
COSTCO WHOLESALE #847 VAUGHAN ON,Costco,Food & Dining,Grocery
TIM HORTONS #5928 OTTAWA ON,Tim Hortons,Food & Dining,Fast Food
ENBRIDGE GAS PREAUTH PMT,Enbridge Gas,Utilities,Natural Gas
SKIP*THE DISHES SKIPTHEDISHES.COM,SkipTheDishes,Food & Dining,Delivery
SHELL 739284756 BURLINGTON ON,Shell,Transportation,Gas Station
LONGO'S #847 OAKVILLE ON,Longos,Food & Dining,Grocery
AMZN MKTPLACE USD*1K8M2 SEATTLE WA,Amazon,Shopping,Online Retail
CIBC MONTHLY FEE,CIBC,Finance,Bank Fee
STARBUCKS #92847 MONTREAL QC,Starbucks,Food & Dining,Coffee Shop
TST* TACO PLACE TORONTO ON,Taco Place,Food & Dining,Restaurant
GOOGLE *YouTubePremium G.CO/HELPPAY#,YouTube Premium,Entertainment,Streaming
REXALL PHARMACY #2847 RICHMOND BC,Rexall,Health & Wellness,Pharmacy
ESSO 48372910 HAMILTON ON,Esso,Transportation,Gas Station
SQ *COFFEE LOUNGE MISSISSAUGA ON,Coffee Lounge,Food & Dining,Coffee Shop
